Date;7.4;7.3;7.2;7.1;7.0;5.6;5.5;5.4;5.3;5.2;5.1;5.0;4.4;4.3
12/07/2019;;40;393;451;344;2544;273;1119;1066;652;948;1;1915;4
13/07/2019;;42;394;446;347;2535;271;1118;1067;653;946;1;1909;4
14/07/2019;;43;394;448;345;2522;268;1112;1064;653;930;1;1896;4
20/07/2019;;50;396;449;343;2508;267;1101;1054;645;924;1;1886;4
28/07/2019;;49;405;448;333;2492;262;1082;1042;630;937;1;1861;4
17/12/2019;1;160;469;361;271;2119;203;834;801;534;867;1;1482;3
18/01/2020;3;173;489;346;268;2057;197;776;633;518;859;;1475;2
15/02/2020;3;190;522;312;259;2013;194;750;490;510;854;;1475;1
14/03/2020;4;207;521;315;256;1947;196;741;437;503;850;;1466;1
11/04/2020;12;229;529;295;254;1923;195;717;423;485;854;;1461;1
09/05/2020;27;242;529;273;257;1904;167;711;417;461;835;;1448;1
07/06/2020;25;246;523;243;245;1863;163;667;405;450;828;;1445;1
04/07/2020;25;252;528;239;237;1840;158;656;379;440;811;;1434;1
